iter	Passed	Remaining
0	147	147515
1	149	74628
2	150	50158
3	152	37920
4	153	30588
5	155	25709
6	156	22212
7	157	19589
8	159	17539
9	160	15932
10	162	14605
11	164	13513
12	165	12572
13	167	11776
14	168	11086
15	170	10473
16	171	9932
17	173	9480
18	175	9056
19	178	8751
20	180	8399
21	181	8069
22	183	7787
23	184	7516
24	186	7259
25	187	7030
26	189	6816
27	190	6615
28	192	6443
29	194	6281
30	195	6118
31	197	5965
32	198	5818
33	200	5685
34	201	5561
35	203	5443
36	204	5331
37	206	5227
38	207	5123
39	209	5026
40	210	4931
41	213	4869
42	215	4795
43	217	4715
44	218	4636
45	220	4567
46	221	4498
47	223	4438
48	225	4368
49	226	4304
50	227	4242
51	229	4180
52	230	4121
53	232	4068
54	233	4018
55	235	3967
56	237	3922
57	238	3874
58	239	3826
59	241	3783
60	242	3737
61	244	3695
62	245	3654
63	247	3615
64	248	3577
65	250	3546
66	252	3514
67	253	3470
68	254	3434
69	256	3402
70	257	3368
71	258	3336
72	260	3306
73	261	3276
74	263	3247
75	265	3224
76	266	3197
77	268	3170
78	269	3144
79	271	3117
80	272	3092
81	274	3067
82	275	3044
83	277	3023
84	278	2997
85	280	2976
86	281	2951
87	282	2929
88	284	2908
89	285	2888
90	287	2866
91	288	2845
92	289	2823
93	290	2804
94	292	2784
95	293	2766
96	295	2749
97	296	2731
98	298	2715
99	299	2697
100	301	2680
101	301	2658
102	303	2642
103	304	2625
104	306	2609
105	307	2593
106	309	2579
107	310	2563
108	311	2548
109	313	2533
110	314	2518
111	315	2503
112	317	2488
113	318	2474
114	319	2461
115	321	2446
116	322	2433
117	324	2422
118	325	2407
119	326	2396
120	329	2390
121	330	2377
122	331	2361
123	332	2348
124	333	2337
125	335	2325
126	336	2313
127	337	2298
128	339	2294
129	341	2284
130	342	2274
131	344	2265
132	345	2255
133	347	2244
134	348	2233
135	349	2222
136	351	2212
137	352	2201
138	354	2193
139	355	2183
140	357	2175
141	358	2166
142	359	2157
143	361	2148
144	362	2140
145	364	2131
146	365	2121
147	367	2113
148	369	2108
149	370	2100
150	372	2092
151	373	2084
152	375	2076
153	376	2067
154	377	2059
155	379	2051
156	380	2043
157	381	2035
158	383	2028
159	385	2021
160	386	2014
161	387	2006
162	389	2000
163	391	1993
164	392	1985
165	393	1977
166	395	1970
167	396	1964
168	398	1959
169	400	1953
170	401	1947
171	402	1939
172	404	1932
173	405	1925
174	407	1918
175	408	1912
176	409	1905
177	411	1898
178	412	1892
179	414	1886
180	414	1876
181	416	1870
182	417	1864
183	418	1857
184	420	1851
185	421	1845
186	423	1839
187	424	1833
188	425	1827
189	427	1821
190	428	1815
191	430	1809
192	431	1803
193	432	1797
194	434	1792
