iter	Passed	Remaining
0	140	140649
1	142	71038
2	144	47881
3	145	36283
4	147	29293
5	148	24645
6	153	21730
7	154	19183
8	156	17192
9	157	15602
10	159	14300
11	160	13215
12	162	12309
13	163	11545
14	166	10923
15	167	10330
16	169	9821
17	171	9355
18	172	8930
19	174	8546
20	175	8193
21	177	7882
22	182	7757
23	184	7491
24	185	7242
25	187	7008
26	188	6791
27	189	6591
28	191	6409
29	193	6246
30	195	6119
31	197	5979
32	199	5840
33	201	5714
34	202	5583
35	203	5462
36	205	5349
37	207	5248
38	208	5149
39	210	5051
40	211	4954
41	213	4867
42	214	4779
43	216	4706
44	218	4627
45	219	4550
46	221	4488
47	222	4422
48	224	4354
49	225	4291
50	227	4230
51	228	4171
52	230	4114
53	231	4058
54	233	4003
55	234	3960
56	236	3918
57	238	3875
58	240	3833
59	241	3788
60	243	3748
61	245	3706
62	246	3665
63	247	3624
64	249	3590
65	251	3554
66	252	3520
67	254	3490
68	256	3457
69	257	3423
70	259	3391
71	260	3361
72	262	3331
73	265	3325
74	268	3306
75	270	3282
76	271	3253
77	272	3225
78	274	3196
79	275	3169
80	277	3142
81	278	3117
82	279	3087
83	281	3066
84	282	3043
85	284	3025
86	286	3003
87	287	2980
88	289	2959
89	290	2936
90	291	2914
91	293	2895
92	295	2884
93	297	2865
94	298	2845
95	300	2827
96	301	2808
97	303	2788
98	304	2769
99	305	2751
100	307	2733
101	308	2718
102	310	2706
103	312	2692
104	313	2675
105	315	2658
106	316	2641
107	318	2626
108	319	2611
109	320	2596
110	322	2580
111	325	2578
112	326	2564
113	328	2551
114	329	2536
115	331	2522
116	332	2507
117	333	2493
118	334	2479
119	336	2466
120	337	2454
121	339	2443
122	341	2432
123	342	2420
124	344	2408
125	345	2395
126	346	2381
127	347	2370
128	349	2358
129	350	2346
130	352	2338
131	354	2330
132	355	2320
133	357	2309
134	358	2298
135	360	2287
136	361	2276
137	362	2266
138	364	2256
139	365	2246
140	367	2236
141	368	2228
142	370	2219
143	372	2211
144	373	2203
145	375	2193
146	376	2185
147	378	2177
148	379	2169
149	381	2160
150	383	2158
151	385	2152
152	387	2144
153	388	2136
154	390	2128
155	392	2121
156	393	2113
157	395	2105
158	396	2096
159	398	2090
160	399	2080
161	400	2073
162	402	2066
163	404	2060
164	405	2052
165	406	2044
166	408	2037
167	410	2030
168	411	2024
169	414	2025
170	416	2018
171	417	2010
172	419	2003
173	420	1995
174	421	1988
175	423	1981
176	424	1974
177	425	1966
178	427	1960
179	429	1955
180	430	1948
181	432	1943
182	433	1936
183	435	1929
184	436	1923
185	438	1917
186	439	1911
187	441	1904
188	444	1905
189	445	1899
190	447	1893
191	448	1887
192	449	1880
193	451	1874
194	452	1868
195	453	1861
196	455	1855
197	457	1851
198	458	1846
199	460	1840
200	461	1835
201	463	1830
202	464	1824
203	466	1819
204	467	1814
